word,the_word_count
사고,29043
버스,19048
영화,13986
무기,13871
대사,12600
역사,12048
관계,10806
가수,10284
전주,9550
대전,9058
시리즈,9017
만화,7997
기사,7854
전사,7462
사가,7140
사건,7090
정보,6328
리그,5102
화성,4983
전기,4975
호선,4844
한국,4665
문명,4370
경기,4270
대구,4170
장비,4110
소설,4104
여자,4074
전차,3975
목록,3910
도시,3896
선수,3828
시즌,3695
서울,3682
축구,3656
유산,3640
부산,3510
게임,3493
수원,3464
유리,3150
삼성,3096
신의,2988
주차,2880
광주,2856
아이,2856
정부,2847
브라운,2770
일본,2698
경주,2656
미국,2598
인천,2580
그린,2550
사태,2527
용인,2466
제주,2440
진주,2440
노래,2430
비판,2427
여수,2416
제도,2412
경력,2343
루이스,2264
도전,2250
성우,2232
조선,2178
전설,2160
국도,2150
행적,2128
원주,2128
지상,2124
라이트,2085
세계,2076
사도,2040
활동,1965
수단,1956
사단,1950
각성,1944
사기,1917
공주,1884
구미,1880
조지,1848
배우,1834
가문,1820
정치,1806
프로젝트,1790
기술,1780
이전,1760
인도,1755
고양,1743
선거,1732
문제,1728
블랙,1724
모리,1716
애니메이션,1708
논란,1695
용사,1692
장수,1683
등장,1665
모드,1618
교수,1617
정리,1611
대회,1584
전장,1575
평가,1551
기타,1544
마리,1542
지구,1530
수상,1500
마스터,1474
농구,1470
병기,1456
양산,1432
음반,1429
기어,1428
로드,1413
신부,1400
청주,1392
드라마,1387
캐릭터,1377
카드,1364
신화,1356
유로,1350
도구,1344
나이트,1336
그레이,1336
세대,1316
경과,1295
요리,1290
리스트,1272
세종,1266
온라인,1261
경제,1260
스토리,1253
강화,1246
동방,1240
설정,1239
사제,1232
건담,1225
코드,1204
이천,1200
임무,1184
사토,1176
울산,1176
갤러리,1172
스미스,1170
양주,1164
연방,1161
아이템,1155
하트,1148
이벤트,1148
천사,1133
학부,1125
단지,1122
외전,1116
고려,1113
레이,1113
중국,1106
파리,1106
밴드,1086
신지,1078
사례,1072
프랑스,1070
사장,1056
학원,1056
기업,1052
대우,1050
이상,1050
보스,1047
지역,1041
사신,1036
공략,1034
사상,1029
슈퍼,1027
성인,1025
대지,1020
제로,1010
우리,1010
피겨,1008
수학,1008
구역,1008
시티,1002
제국,1002
사자,1001
호기,994
전투,986
야구,982
가장,975
작중,975
천안,969
가지,957
국가,954
강사,952
시간,950
방영,948
사망,945
일기,944
영국,932
영상,927
한화,925
에피소드,924
공항,918
유우,912
상사,912
의사,910
개의,910
역대,900
신전,900
일반,896
스트라이크,894
고대,889
소녀,876
전철,875
여신,873
현대,872
수록,865
참사,864
역전,852
원정,848
스킬,846
신사,840
기적,840
지미,837
안산,835
호주,834
거상,832
부대,828
북한,822
박사,820
기자,819
잭슨,819
러브,818
기지,816
비트,812
판타지,810
마블,810
스타,810
프로,810
다시,804
사원,800
제임스,796
무사,795
신데렐라,791
존스,790
창원,788
전함,780
줄거리,778
매직,770
고성,741
유지,741
대장,741
시호,737
트리,736
화재,735
포스,732
전국,730
케이,728
사랑,723
나의,722
거리,720
유사,720
사회,712
이동,704
전쟁,701
시설,684
함수,684
소련,684
연대,684
유이,684
영어,680
인터넷,679
배경,678
이야기,677
헨리,676
용어,672
내전,672
고치,672
우주,672
성전,670
천황,668
지지,666
소리,665
용의,664
라이브,664
호대,663
대학,663
구리,660
구장,660
방송,658
동화,656
인구,655
해리,652
지명,650
기수,650
연구,648
가자,648
수성,646
빅토리아,645
관련,643
요정,640
현상,640
반도,632
위기,630
고로,630
소수,630
과제,628
사라,628
조사,627
유닛,626
본선,624
조작,620
배틀,619
일람,618
시스템,618
소라,618
존슨,615
수정,615
포항,615
연애,606
그림,606
속성,606
윌리엄스,605
남자,604
유미,602
조이,600
문화,596
위한,594
원소,592
컬렉션,591
시인,590
배구,590
그룹,588
지도,585
로즈,579
군단,578
함대,577
인의,576
정식,572
수도,572
장기,572
사전,572
고지,570
왕조,568
하지,567
나라,562
비전,561
다니엘,561
부천,558
포드,558
정원,558
카운터,556
재판,552
신도,550
상자,550
지방,549
무비,548
불의,548
기아,546
헌터,545
군사,544
발매,540
내역,540
춘천,540
기장,540
로마,538
오토,535
대선,535
노트,534
지진,534
용병,534
경찰,532
왕자,525
왕국,524
도쿄,524
호수,522
파주,522
전당,520
소울,520
리치,520
하이,519
스케이팅,519
태조,517
일의,516
런던,516
기계,516
영역,515
음악,514
조합,512
에이스,510
기록,508
피닉스,507
정당,504
피트,504
마치,504
독일,501
저주,501
오리지널,501
성씨,500
로스,500
리드,496
사정,496
